Name,Wings,Engine,Brakes,Gear,Suspension,WS,FuelDry,FuelWet,Distance,Tyre,Pit I/O,Corners (15)
A1-Ring,249.22,714.42,676.29,789.1,511.89,141.46,0.875,0.7829,307.1,0.89211,21.00,9.00
Adelaide,631.9,496.9,358.33,549.99,652.05,79.46,0.807,0.6774,298.6,0.94557,19.50,12.00
Ahvenisto,993.04,466.54,699.74,766.1,240.15,228.29,0.8455,0.796,243.2,0.9336,11.50,10.00
Anderstorp,250.72,699.88,769.29,611.18,107.05,75.32,0.9042,0.785,281.8,0.971,13.50,10.00
Austin,521.56,605.59,608.9,640.62,786.9,173.6,0.8617,0.752,308.9,1.00374,17.50,20.00
Avus,302.56,636.26,412.4,387.41,821.34,103.25,0.90563,0,312.3,1.18641,13.00,4.00
Baku City,362.08,615.56,611.02,706,716.97,96.71,0.89345,0,306.3,1.00055,17.00,20.00
Barcelona,457.87,673.95,503.46,676.11,315.93,140.56,0.874,0,307.3,1.0933,21.00,16.00
Brands Hatch,475.32,647.54,386.69,709.4,641.47,121.1,0.8305,0.6357,315.5,1.04047,25.50,12.00
Brasilia,577.88,409.23,697.76,849.61,784.06,46.69,0.8911,0.6221,301.1,1.04035,13.50,12.00
Bremgarten,713.7,594.03,589.41,697.91,539.29,138.55,0.858,0,305.8,1.0813,17.00,16.00
Brno,489.73,515.49,378.53,555.53,490.25,73.58,0.8324,0.7015,308,0.98793,14.00,15.00
Bucharest Ring,269.73,654.11,711.39,593.83,744.57,77.48,0.9118,0.7706,245.7,0.9947,24.00,14.00
Buenos Aires,901.29,516.57,272.05,654.41,706.34,190.08,0.7853,0.572,306.6,0.9795,19.50,16.00
Estoril,438.52,652.28,302.24,705,575.42,79.46,0.8379,0.7148,305.2,1.05901,22.50,13.00
Fiorano,449.29,619.66,301.15,374.52,895.1,99.31,0.9327,0.872,238.6,0.95633,16.50,14.00
Fuji,271.38,590.54,633.87,689.16,500.84,117.72,0.8491,0.6228,305.4,0.976,18.50,16.00
Grobnik,646.19,384.37,524.55,768.66,500.29,128.82,0.8224,0,308.4,1.03798,13.00,15.00
Hockenheim,444.92,647.63,329.61,789.21,291.96,-98.2,0.8693,0.899,306.4,0.96074,16.50,12.00
Hungaroring,853.49,439.1,571.56,434.45,416.73,62.53,0.7657,0.649,305.5,1.06388,16.50,14.00
Imola,459.77,599.72,672.31,615.44,455.84,19.18,0.8557,0.6079,305.6,1.0555,12.00,16.00
Indianapolis,207.55,706.52,465.52,648.5,518.59,-35,0.893,0,306.6,1.01319,25.50,13.00
Indianapolis Oval,-58.62,730.49,21.69,901.36,304.75,67.6,0.9042,0.749,321.8,0.9953,45.00,4.00
Interlagos,460.91,578.03,555.34,568.26,318.88,-26.27,0.8492,0.6853,305.9,1.04207,18.00,14.00
Irungattukottai,680.12,470.29,626.79,620.22,536.55,13.95,0.8412,0,293.6,0.97159,14.00,12.00
Istanbul,387.85,544.46,700.97,543.97,636.53,118.92,0.856,0.694,309.4,1.11647,16.00,14.00
Jerez,717.6,608.07,626.86,701.3,321.26,143.33,0.889,0.6178,306.4,0.9,18.00,14.00
Jyllands-Ringen,769.66,414.13,556.76,743.56,524.72,106.93,0.826,0,184,0.98582,19.50,20.00
Kaunas,387.37,635.17,515.42,685,362.96,91.1,0.8461,0.7649,264.1,1.0395,11.00,10.00
Kyalami,777.15,534.3,557.47,528.95,749.84,206.85,0.8016,0,306.8,1.02227,15.00,14.00
Laguna Seca,481.06,401.03,585.51,619.45,50.81,54.38,0.902,0.751,284.5,1.015,16.70,11.00
Magny Cours,453.62,564.81,294.88,588.24,560.43,147.77,0.865,0,305.8,0.94099,18.00,14.00
Melbourne,403.36,619,614.44,757.14,294.52,8.04,0.8553,0,307.6,0.97952,16.50,17.00
Mexico City,632.08,700.96,470.54,671.13,323.13,48.62,0.8353,0.6893,305,0.99074,24.00,9.00
Monte Carlo,1024.73,373.43,471.04,374.23,494.38,100.89,0.8141,0.621,262.8,1.05986,18.00,19.00
Montreal,335.19,677.82,566.84,718.1,237.85,-98.13,0.8553,0.7349,305,1.0831,16.50,12.00
Monza,124.19,735.83,496,868.17,610.97,24.64,0.913,0,306.7,1.0733,25.50,13.00
Mugello,517.88,805.54,879.84,901.34,590.54,-69.4,0.8474,0.6958,304.3,1.0235,13.50,14.00
New Delhi,649.99,556.92,556.38,720.3,150.9,-97.64,0.8363,0.768,308.2,1.03303,19.00,16.00
Nurburgring,650.81,451.94,626.71,598,149.86,244.17,0.799,0,308.7,1.0645,15.00,16.00
Oesterreichring,442.09,675.58,496.59,729.98,508.34,85.42,0.8686,0.6529,308.9,1.08664,21.00,11.00
Paul Ricard,362.79,732.67,301.68,784.37,575.27,182.33,0.8965,0.771,305,1.09121,19.50,11.00
Portimao,784.36,392.27,486.5,490,295.42,180.52,0.8361,0.7061,309.7,1.0578,15.50,18.00
Poznan,742,546.02,379.02,718.46,529.96,182.04,0.8239,0,306.2,1.08634,14.00,14.00
Rafaela Oval,86.6,645.37,144.79,781.23,354.81,67.6,0.9058,0.7695,317.3,1.06418,10.00,8.00
Sakhir,126.91,406.55,716.34,609.56,240.96,-21.44,0.912,0.7124,308.5,1.10363,25.50,14.00
Sepang,554,590.12,653.69,746.34,466.41,24.6,0.8422,0.6161,310.4,0.9926,24.00,17.00
Serres,927.25,414.83,503.01,477.94,522.69,177,0.8633,0,254.9,0.92879,12.00,16.00
Shanghai,416.43,529.77,641.35,354.61,114.21,114.9,0.9052,0.6744,305.2,1.05878,24.00,10.00
Silverstone,283.41,699.48,590.85,823.25,415.1,18.87,0.8693,0.681,308.3,1.1123,22.50,14.00
Singapore,865.61,438.19,578.15,598.96,801.2,202.04,0.854,0.5521,309.1,1.04688,17.00,23.00
Slovakiaring,735.82,439.66,609.73,491.45,431.92,184.08,0.9069,0.79,313.9,1.0652,19.50,14.00
Sochi,675.39,588.26,587.66,696.24,456.11,137.97,0.8404,0,310.1,1.04166,23.00,19.00
Spa,585.64,716.49,446.82,609.47,372.54,50.4,0.8835,0.4519,306.6,1.04803,13.50,22.00
Suzuka,413.56,639.98,515.88,550.25,531.13,47.12,0.857,0.5508,310.6,1.0326,15.00,14.00
Valencia,837.83,445.95,657.26,652.58,335.82,209.76,0.8459,0.56,310.1,0.95518,14.50,25.00
Yas Marina,730.05,459.7,557.69,476.1,419.98,175.25,0.8117,0.7014,305.5,0.95151,18.50,21.00
Yeongam,781.67,480.86,719.53,689.5,420.63,207.41,0.8365,0.7399,309.2,1.0452,23.50,18.00
Zandvoort,551.15,653.24,415.91,779.13,709.95,5.57,0.8402,0.583,301.8,1.01818,22.50,14.00
Zolder,669.24,616.83,466.06,628.62,539.48,193.3,0.8286,0.6365,298.3,0.99094,19.50,17.00
